"","score","text"
"85",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"86",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"87",-1,"Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/k7CaxAQzPb https://t.co/w1PHRAEJzZ"
"88",0,"Tugas kita bukanlah untuk berhasil. Tugas kita ad https://t.co/7FKWCEX1dz Jakarta Bersyariah"
"89",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"90",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"91",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"92",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"93",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"94",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"95",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"96",-3,"RT @okezonenews: Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/3rMKRnLO4d https://t.co/sW1HRgwg0V"
"97",-2,"RT @JokoHQ: Apa pernah Anies terang2an membantah spanduk Jakarta Bersyariah? Nggaklah. Dia pengen jg dpt secuil suara dr pendukung Jakarta…"
"98",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"99",-1,"RT @GunRomli: Jelas2 sekali Al-Khaththath alias Gatot ini brsama FPI yg dukung Anies ingin tegakkan NKRI Bersyariah, ya mulai dr Jakarta Be…"
"100",-1,"RT @risyiana: Re: Spanduk Jakarta Bersyariah | Saya RT supaya kita gak ada di echo chambers ya, temans. https://t.co/r8iTq6Ih3z"
