"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:17:21,FALSE,NA,"849143836563525632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kanniadibrata",39,TRUE,FALSE,NA,NA
"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk",FALSE,0,NA,2017-04-04 06:17:00,FALSE,NA,"849143749913452545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buin83",101,TRUE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/Bs7b224uhT",FALSE,0,NA,2017-04-04 06:16:44,FALSE,NA,"849143682510893056",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MYUNGSEQ",0,FALSE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/bYicQFMQN3",FALSE,0,NA,2017-04-04 06:16:44,FALSE,NA,"849143681223348224",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","petirmblaq",0,FALSE,FALSE,NA,NA
"#BeritaIndonesia Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/HteuTK4OB1 V… https://t.co/b0sXtWjDyk",FALSE,0,NA,2017-04-04 06:16:11,TRUE,NA,"849143544056918016",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Kanal_RI",0,FALSE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/2Ewu7Jxpz7 https://t.co/cQkpEeKWPt",FALSE,0,NA,2017-04-04 06:16:10,FALSE,NA,"849143538415656960",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","DuniaMedsos",0,FALSE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/W2auurMkYx",FALSE,0,NA,2017-04-04 06:16:09,FALSE,NA,"849143535249084417",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Klik_Berita",0,FALSE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/3rMKRnLO4d https://t.co/sW1HRgwg0V",FALSE,0,NA,2017-04-04 06:15:43,FALSE,NA,"849143426134056960",NA,"<a href=""http://www.okezone.com"" rel=""nofollow"">OkezoneMobile</a>","okezonenews",1,FALSE,FALSE,NA,NA
"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/AaTaD38HNV",FALSE,0,NA,2017-04-04 06:14:06,FALSE,NA,"849143018942681088",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rizalxyloto",0,FALSE,FALSE,NA,NA
"jakarta bersyariah biji lo meledak!",FALSE,0,NA,2017-04-04 06:13:39,FALSE,NA,"849142903767048192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wisnukunt",0,FALSE,FALSE,NA,NA
